ENA|ORXJ01009545|ORXJ01009545.1,0,9074,UniRef50_UPI000427E3F7,1038,5403	ENA|ORXJ01009545|ORXJ01009545.1,0,9074,UniRef50_UPI000427E3F7,1038,5403
ENA|OVLV01001512|OVLV01001512.1,0,13530,UniRef50_A0A2V2CC41,561,4296	ENA|OGCO01000809|OGCO01000809.1,1963,51457,UniRef50_A0A2V2CC41,45283,49075
ENA|OVLV01001512|OVLV01001512.1,0,13530,UniRef50_A0A2V2CC41,561,4296	ERZ914388.415,0,6330,UniRef50_A0A2V2CC41,1940,5732
ENA|OVLV01001512|OVLV01001512.1,0,13530,UniRef50_A0A2V2CC41,561,4296	ENA|OOYD01000264|OOYD01000264.1,0,12772,UniRef50_A0A2V2CC41,3770,7562
ENA|OVLV01001512|OVLV01001512.1,0,13530,UniRef50_A0A2V2CC41,561,4296	ENA|OHPS01000823|OHPS01000823.1,0,11021,UniRef50_A0A2V2CC41,1279,5071
ENA|OVLV01001512|OVLV01001512.1,0,13530,UniRef50_A0A2V2CC41,561,4296	ERZ942003.7018,0,6174,UniRef50_A0A2V2CC41,1933,5725
ENA|OVLV01001512|OVLV01001512.1,0,13530,UniRef50_A0A2V2CC41,561,4296	ERZ916152.10996,0,9545,UniRef50_A0A2V2CC41,5255,9047
ENA|OVLV01001512|OVLV01001512.1,0,13530,UniRef50_A0A2V2CC41,561,4296	Ga0243806_1003241,0,9109,UniRef50_A0A2V2CC41,4567,8359
ENA|OVLV01001512|OVLV01001512.1,0,13530,UniRef50_A0A2V2CC41,561,4296	ERZ918160.48419,0,8765,UniRef50_A0A2V2CC41,4371,8163
ENA|OVLV01001512|OVLV01001512.1,0,13530,UniRef50_A0A2V2CC41,561,4296	ERZ942226.27294,0,5282,UniRef50_A0A2V2CC41,1046,4838
ENA|OVLV01001512|OVLV01001512.1,0,13530,UniRef50_A0A2V2CC41,561,4296	ENA|ORSY01000005|ORSY01000005.1,15490,92428,UniRef50_A0A2V2CC41,49843,53635
ENA|OVLV01001512|OVLV01001512.1,0,13530,UniRef50_A0A2V2CC41,561,4296	ENA|OHXA01000038|OHXA01000038.1,0,60618,UniRef50_A0A2V2CC41,27109,30901
ENA|OVLV01001512|OVLV01001512.1,0,13530,UniRef50_A0A2V2CC41,561,4296	ERZ872150.17,0,42833,UniRef50_A0A2V2CC41,8521,12313
ENA|OVLV01001512|OVLV01001512.1,0,13530,UniRef50_A0A2V2CC41,561,4296	ERZ917706.41080,279757,360074,UniRef50_A0A2V2CC41,321959,325751
ENA|OVLV01001512|OVLV01001512.1,0,13530,UniRef50_A0A2V2CC41,561,4296	ERZ857693.215,7770,87252,UniRef50_A0A2V2CC41,40647,44439
ENA|OVLV01001512|OVLV01001512.1,0,13530,UniRef50_A0A2V2CC41,561,4296	ERZ827504.297,12311,77441,UniRef50_A0A2V2CC41,45160,48952
ENA|OVLV01001512|OVLV01001512.1,0,13530,UniRef50_A0A2V2CC41,561,4296	ERZ920338.45940,131364,216768,UniRef50_A0A2V2CC41,178806,182598
ENA|OVLV01001512|OVLV01001512.1,0,13530,UniRef50_A0A2V2CC41,561,4296	Ga0243887_1000011,140610,221530,UniRef50_A0A2V2CC41,174905,178697
ENA|OVLV01001512|OVLV01001512.1,0,13530,UniRef50_A0A2V2CC41,561,4296	ENA|OOAO01000025|OOAO01000025.1,0,56816,UniRef50_A0A2V2CC41,12103,15895
ENA|OVLV01001512|OVLV01001512.1,0,13530,UniRef50_A0A2V2CC41,561,4296	ENA|OVTG01000181|OVTG01000181.1,0,66339,UniRef50_A0A2V2CC41,15656,19448
ENA|OVLV01001512|OVLV01001512.1,0,13530,UniRef50_A0A2V2CC41,561,4296	ENA|OPDE01000001|OPDE01000001.1,263697,343725,UniRef50_A0A2V2CC41,305661,309453
ENA|OVLV01001512|OVLV01001512.1,0,13530,UniRef50_A0A2V2CC41,561,4296	ENA|OWBT01000002|OWBT01000002.1,70904,162149,UniRef50_A0A2V2CC41,105220,109012
ENA|OVLV01001512|OVLV01001512.1,0,13530,UniRef50_A0A2V2CC41,561,4296	ENA|UZOX01000009|UZOX01000009.1,103776,188777,UniRef50_A0A2V2CC41,150668,154460
ENA|OVLV01001512|OVLV01001512.1,0,13530,UniRef50_A0A2V2CC41,561,4296	ENA|ORVS01000014|ORVS01000014.1,48047,128075,UniRef50_A0A2V2CC41,82318,86110
ENA|OVLV01001512|OVLV01001512.1,0,13530,UniRef50_A0A2V2CC41,561,4296	ENA|OGCZ01000003|OGCZ01000003.1,174847,260025,UniRef50_A0A2V2CC41,221916,225708
ENA|OVLV01001512|OVLV01001512.1,0,13530,UniRef50_A0A2V2CC41,561,4296	ENA|OWGO01000043|OWGO01000043.1,0,60485,UniRef50_A0A2V2CC41,15772,19564
ENA|OVLV01001512|OVLV01001512.1,0,13530,UniRef50_A0A2V2CC41,561,4296	ENA|UPNI01000006|UPNI01000006.1,39596,114774,UniRef50_A0A2V2CC41,86505,90297
ENA|OVLV01001512|OVLV01001512.1,0,13530,UniRef50_A0A2V2CC41,561,4296	ENA|UPLJ01000034|UPLJ01000034.1,0,53505,UniRef50_A0A2V2CC41,8955,12747
ENA|OVLV01001512|OVLV01001512.1,0,13530,UniRef50_A0A2V2CC41,561,4296	ENA|QZLI01000007|QZLI01000007.1,101508,181805,UniRef50_A0A2V2CC41,135861,139653
ENA|OVLV01001512|OVLV01001512.1,0,13530,UniRef50_A0A2V2CC41,561,4296	ERZ914911.21524,71614,156757,UniRef50_A0A2V2CC41,105930,109722
ENA|OVLV01001512|OVLV01001512.1,0,13530,UniRef50_A0A2V2CC41,561,4296	ERZ925820.8274,71676,156729,UniRef50_A0A2V2CC41,118620,122412
ENA|OVLV01001512|OVLV01001512.1,0,13530,UniRef50_A0A2V2CC41,561,4296	ERZ919176.87036,71629,162649,UniRef50_A0A2V2CC41,105945,109737
ENA|OVLV01001512|OVLV01001512.1,0,13530,UniRef50_A0A2V2CC41,561,4296	ERZ926766.57965,244615,323519,UniRef50_A0A2V2CC41,285410,289202
ENA|OVLV01001512|OVLV01001512.1,0,13530,UniRef50_A0A2V2CC41,561,4296	ERZ919228.19359,71243,150210,UniRef50_A0A2V2CC41,105559,109351
ENA|OVLV01001512|OVLV01001512.1,0,13530,UniRef50_A0A2V2CC41,561,4296	ERZ915018.49881,71629,157798,UniRef50_A0A2V2CC41,105945,109737
ENA|OVLV01001512|OVLV01001512.1,0,13530,UniRef50_A0A2V2CC41,561,4296	ENA|OOAH01000001|OOAH01000001.1,356504,406938,UniRef50_A0A2V2CC41,398734,402526
ENA|OVLV01001512|OVLV01001512.1,0,13530,UniRef50_A0A2V2CC41,561,4296	ERZ970445.12,2214,52648,UniRef50_A0A2V2CC41,7249,11041
ENA|OVLV01001512|OVLV01001512.1,0,13530,UniRef50_A0A2V2CC41,561,4296	ENA|UAFD01000012|UAFD01000012.1,0,45032,UniRef50_A0A2V2CC41,484,4276
ENA|OVLV01001512|OVLV01001512.1,0,13530,UniRef50_A0A2V2CC41,561,4296	ERZ925416.74212,0,45392,UniRef50_A0A2V2CC41,844,4636
ENA|OVLV01001512|OVLV01001512.1,0,13530,UniRef50_A0A2V2CC41,561,4296	ENA|UZKW01000007|UZKW01000007.1,0,43698,UniRef50_A0A2V2CC41,5299,9091
ENA|OVLV01001512|OVLV01001512.1,0,13530,UniRef50_A0A2V2CC41,561,4296	ERZ840005.5,105358,184813,UniRef50_A0A2V2CC41,139504,143296
ENA|OVLV01001512|OVLV01001512.1,0,13530,UniRef50_A0A2V2CC41,561,4296	ENA|USVX01000027|USVX01000027.1,55132,107537,UniRef50_A0A2V2CC41,94492,98284
ENA|OVLV01001512|OVLV01001512.1,0,13530,UniRef50_A0A2V2CC41,561,4296	ENA|OVYV01000003|OVYV01000003.1,31874,112607,UniRef50_A0A2V2CC41,66042,69834
ENA|OVLV01001512|OVLV01001512.1,0,13530,UniRef50_A0A2V2CC41,561,4296	ENA|UZVG01000028|UZVG01000028.1,77165,155303,UniRef50_A0A2V2CC41,109824,113616
ENA|OVLV01001512|OVLV01001512.1,0,13530,UniRef50_A0A2V2CC41,561,4296	ERZ917193.17170,275537,353302,UniRef50_A0A2V2CC41,314903,318695
ENA|OVLV01001512|OVLV01001512.1,0,13530,UniRef50_A0A2V2CC41,561,4296	ENA|OVGH01000087|OVGH01000087.1,5453,57415,UniRef50_A0A2V2CC41,21044,24836
ENA|OVLV01001512|OVLV01001512.1,0,13530,UniRef50_A0A2V2CC41,561,4296	ENA|OOCS01000083|OOCS01000083.1,0,36645,UniRef50_A0A2V2CC41,232,4024
ENA|OVLV01001512|OVLV01001512.1,0,13530,UniRef50_A0A2V2CC41,561,4296	ERZ842912.22,1298,38085,UniRef50_A0A2V2CC41,34056,37848
ENA|OVLV01001512|OVLV01001512.1,0,13530,UniRef50_A0A2V2CC41,561,4296	ERZ920254.46518,0,13345,UniRef50_A0A2V2CC41,9088,12880
ENA|OVLV01001512|OVLV01001512.1,0,13530,UniRef50_A0A2V2CC41,561,4296	Ga0257032_11369,0,16325,UniRef50_A0A2V2CC41,12333,16125
ENA|OVLV01001512|OVLV01001512.1,0,13530,UniRef50_A0A2V2CC41,561,4296	ERZ917182.32107,0,18925,UniRef50_A0A2V2CC41,878,4670
ENA|OVLV01001512|OVLV01001512.1,0,13530,UniRef50_A0A2V2CC41,561,4296	ERZ917719.51017,70588,109575,UniRef50_A0A2V2CC41,104756,108548
ENA|OVLV01001512|OVLV01001512.1,0,13530,UniRef50_A0A2V2CC41,561,4296	ENA|UPDC01000010|UPDC01000010.1,32480,112530,UniRef50_A0A2V2CC41,66642,70434
ENA|OVLV01001512|OVLV01001512.1,0,13530,UniRef50_A0A2V2CC41,561,4296	ENA|OMCF01000110|OMCF01000110.1,7508,42561,UniRef50_A0A2V2CC41,38282,42074
ENA|OVLV01001512|OVLV01001512.1,0,13530,UniRef50_A0A2V2CC41,561,4296	ENA|OJOR01000018|OJOR01000018.1,0,34725,UniRef50_A0A2V2CC41,362,4154
ENA|OVLV01001512|OVLV01001512.1,0,13530,UniRef50_A0A2V2CC41,561,4296	ENA|ODJY01000149|ODJY01000149.1,30637,67290,UniRef50_A0A2V2CC41,61439,65231
ENA|OVLV01001512|OVLV01001512.1,0,13530,UniRef50_A0A2V2CC41,561,4296	ENA|OXYY01000720|OXYY01000720.1,0,11454,UniRef50_A0A2V2CC41,489,4281
ENA|OVLV01001512|OVLV01001512.1,0,13530,UniRef50_A0A2V2CC41,561,4296	ERZ919948.21943,0,35261,UniRef50_A0A2V2CC41,664,4456
ENA|OVLV01001512|OVLV01001512.1,0,13530,UniRef50_A0A2V2CC41,561,4296	ENA|OYZQ01000336|OYZQ01000336.1,0,11681,UniRef50_A0A2V2CC41,6979,10771
ENA|OVLV01001512|OVLV01001512.1,0,13530,UniRef50_A0A2V2CC41,561,4296	ENA|UAKC01001138|UAKC01001138.1,0,9685,UniRef50_A0A2V2CC41,5207,8999
ENA|OVLV01001512|OVLV01001512.1,0,13530,UniRef50_A0A2V2CC41,561,4296	Ga0243805_101388,0,27358,UniRef50_A0A2V2CC41,22813,26605
ENA|OVLV01001512|OVLV01001512.1,0,13530,UniRef50_A0A2V2CC41,561,4296	ENA|OZKR01000044|OZKR01000044.1,0,36039,UniRef50_A0A2V2CC41,1474,5266
ENA|OVLV01001512|OVLV01001512.1,0,13530,UniRef50_A0A2V2CC41,561,4296	ENA|ULNN01016963|ULNN01016963.1,15416,50700,UniRef50_A0A2V2CC41,46247,50039
ENA|OVLV01001512|OVLV01001512.1,0,13530,UniRef50_A0A2V2CC41,561,4296	ERZ931675.49,0,15480,UniRef50_A0A2V2CC41,581,4373
ENA|OVLV01001512|OVLV01001512.1,0,13530,UniRef50_A0A2V2CC41,561,4296	ERZ914215.30674,0,7693,UniRef50_A0A2V2CC41,3421,7213
ENA|OVLV01001512|OVLV01001512.1,0,13530,UniRef50_A0A2V2CC41,561,4296	ENA|OOCP01000002|OOCP01000002.1,263787,349131,UniRef50_A0A2V2CC41,311021,314813
ENA|OVLV01001512|OVLV01001512.1,0,13530,UniRef50_A0A2V2CC41,561,4296	ERZ870695.1,77357,156659,UniRef50_A0A2V2CC41,110300,114092
ENA|OVLV01001512|OVLV01001512.1,0,13530,UniRef50_A0A2V2CC41,561,4296	ENA|OLNP01000004|OLNP01000004.1,70228,151279,UniRef50_A0A2V2CC41,104526,108318
ENA|OVLV01001512|OVLV01001512.1,0,13530,UniRef50_A0A2V2CC41,561,4296	ENA|OHQR01000003|OHQR01000003.1,133078,169723,UniRef50_A0A2V2CC41,153817,157609
ENA|OVLV01001512|OVLV01001512.1,0,13530,UniRef50_A0A2V2CC41,561,4296	ENA|OHPB01000002|OHPB01000002.1,133605,170250,UniRef50_A0A2V2CC41,154344,158136
ENA|OVLV01001512|OVLV01001512.1,0,13530,UniRef50_A0A2V2CC41,561,4296	ENA|ULYX01038869|ULYX01038869.1,70861,108079,UniRef50_A0A2V2CC41,103619,107411
ENA|OVLV01001512|OVLV01001512.1,0,13530,UniRef50_A0A2V2CC41,561,4296	ENA|OWQP01000582|OWQP01000582.1,0,38314,UniRef50_A0A2V2CC41,353,4145
ENA|OVLV01001512|OVLV01001512.1,0,13530,UniRef50_A0A2V2CC41,561,4296	ERZ919173.67861,0,38625,UniRef50_A0A2V2CC41,664,4456
ENA|OVLV01001512|OVLV01001512.1,0,13530,UniRef50_A0A2V2CC41,561,4296	ERZ925268.44236,0,38393,UniRef50_A0A2V2CC41,433,4054
ENA|OVLV01001512|OVLV01001512.1,0,13530,UniRef50_A0A2V2CC41,561,4296	ENA|OZMK01000362|OZMK01000362.1,0,12825,UniRef50_A0A2V2CC41,8554,12346
ENA|OVLV01001512|OVLV01001512.1,0,13530,UniRef50_A0A2V2CC41,561,4296	ERZ1027237.185,0,31151,UniRef50_A0A2V2CC41,26736,30528
ENA|OVLV01001512|OVLV01001512.1,0,13530,UniRef50_A0A2V2CC41,561,4296	ERZ919188.68353,0,38554,UniRef50_A0A2V2CC41,599,4391
ENA|OVLV01001512|OVLV01001512.1,0,13530,UniRef50_A0A2V2CC41,561,4296	ENA|OFSC01000140|OFSC01000140.1,0,60238,UniRef50_A0A2V2CC41,17960,21752
ENA|OVLV01001512|OVLV01001512.1,0,13530,UniRef50_A0A2V2CC41,561,4296	ENA|OHVT01000007|OHVT01000007.1,0,73127,UniRef50_A0A2V2CC41,26606,30398
ENA|OVLV01001512|OVLV01001512.1,0,13530,UniRef50_A0A2V2CC41,561,4296	ENA|OGGJ01000297|OGGJ01000297.1,0,45418,UniRef50_A0A2V2CC41,8985,12777
ENA|OVLV01001512|OVLV01001512.1,0,13530,UniRef50_A0A2V2CC41,561,4296	ENA|OGQX01000041|OGQX01000041.1,79603,126443,UniRef50_A0A2V2CC41,112437,116229
ENA|OVLV01001512|OVLV01001512.1,0,13530,UniRef50_A0A2V2CC41,561,4296	ERZ913273.6515,0,31021,UniRef50_A0A2V2CC41,26045,29837
ENA|OVLV01001512|OVLV01001512.1,0,13530,UniRef50_A0A2V2CC41,561,4296	ERZ918511.3614,0,13563,UniRef50_A0A2V2CC41,922,4714
ENA|OVLV01001512|OVLV01001512.1,0,13530,UniRef50_A0A2V2CC41,561,4296	ERZ913649.50685,15453,53290,UniRef50_A0A2V2CC41,48332,52124
ENA|OVLV01001512|OVLV01001512.1,0,13530,UniRef50_A0A2V2CC41,561,4296	ERZ925562.46967,0,37975,UniRef50_A0A2V2CC41,1550,5342
ENA|OVLV01001512|OVLV01001512.1,0,13530,UniRef50_A0A2V2CC41,561,4296	ERZ910659.3002,165455,217417,UniRef50_A0A2V2CC41,179330,183122
ENA|OVLV01001512|OVLV01001512.1,0,13530,UniRef50_A0A2V2CC41,561,4296	ENA|OZBH01000033|OZBH01000033.1,0,59672,UniRef50_A0A2V2CC41,13780,17572
ENA|OVLV01001512|OVLV01001512.1,0,13530,UniRef50_A0A2V2CC41,561,4296	ENA|OJMJ01000004|OJMJ01000004.1,81111,131545,UniRef50_A0A2V2CC41,127352,130682
ENA|OVLV01001512|OVLV01001512.1,0,13530,UniRef50_A0A2V2CC41,561,4296	ENA|OZIC01000086|OZIC01000086.1,0,32726,UniRef50_A0A2V2CC41,13522,16957
ENA|OVLV01001512|OVLV01001512.1,0,13530,UniRef50_A0A2V2CC41,561,4296	ENA|OOWX01000023|OOWX01000023.1,15089,88493,UniRef50_A0A2V2CC41,69260,73052
ENA|OVLV01001512|OVLV01001512.1,0,13530,UniRef50_A0A2V2CC41,561,4296	ENA|ORRP01000134|ORRP01000134.1,15088,85551,UniRef50_A0A2V2CC41,57150,60942
ENA|OVLV01001512|OVLV01001512.1,0,13530,UniRef50_A0A2V2CC41,561,4296	ENA|OIDF01000037|OIDF01000037.1,96734,140471,UniRef50_A0A2V2CC41,127303,131095
ENA|OVLV01001512|OVLV01001512.1,0,13530,UniRef50_A0A2V2CC41,561,4296	ENA|OHZK01000165|OHZK01000165.1,0,43262,UniRef50_A0A2V2CC41,27714,31506
ENA|OVLV01001512|OVLV01001512.1,0,13530,UniRef50_A0A2V2CC41,561,4296	ENA|OPVF01000611|OPVF01000611.1,0,20470,UniRef50_A0A2V2CC41,15091,18883
ENA|OVLV01001512|OVLV01001512.1,0,13530,UniRef50_A0A2V2CC41,561,4296	ENA|OHMW01000035|OHMW01000035.1,41941,98063,UniRef50_A0A2V2CC41,78494,82286
ENA|OVLV01001512|OVLV01001512.1,0,13530,UniRef50_A0A2V2CC41,561,4296	ENA|OGOI01000665|OGOI01000665.1,0,27171,UniRef50_A0A2V2CC41,11232,15024
ENA|OVLV01001512|OVLV01001512.1,0,13530,UniRef50_A0A2V2CC41,561,4296	ENA|UZSL01000142|UZSL01000142.1,0,48066,UniRef50_A0A2V2CC41,10105,13897
ENA|OVLV01001512|OVLV01001512.1,0,13530,UniRef50_A0A2V2CC41,561,4296	ENA|UZTJ01000073|UZTJ01000073.1,0,38970,UniRef50_A0A2V2CC41,2523,6315
ENA|OVLV01001512|OVLV01001512.1,0,13530,UniRef50_A0A2V2CC41,561,4296	ENA|UPDV01000062|UPDV01000062.1,0,47902,UniRef50_A0A2V2CC41,11488,15280
ENA|OVLV01001512|OVLV01001512.1,0,13530,UniRef50_A0A2V2CC41,561,4296	ENA|USXV01000049|USXV01000049.1,0,51688,UniRef50_A0A2V2CC41,15259,19051
ENA|OVLV01001512|OVLV01001512.1,0,13530,UniRef50_A0A2V2CC41,561,4296	ERZ914939.99537,0,49907,UniRef50_A0A2V2CC41,11945,15737
ENA|OVLV01001512|OVLV01001512.1,0,13530,UniRef50_A0A2V2CC41,561,4296	ERZ919634.42336,15497,61761,UniRef50_A0A2V2CC41,48128,51920
ENA|OVLV01001512|OVLV01001512.1,0,13530,UniRef50_A0A2V2CC41,561,4296	ERZ1026832.334,0,27181,UniRef50_A0A2V2CC41,14691,18483
ENA|OVLV01001512|OVLV01001512.1,0,13530,UniRef50_A0A2V2CC41,561,4296	ERZ917372.67670,0,21488,UniRef50_A0A2V2CC41,513,4305
ENA|OVLV01001512|OVLV01001512.1,0,13530,UniRef50_A0A2V2CC41,561,4296	ERZ917608.75106,0,39809,UniRef50_A0A2V2CC41,1854,5646
ENA|OVLV01001512|OVLV01001512.1,0,13530,UniRef50_A0A2V2CC41,561,4296	ERZ932790.1,0,32671,UniRef50_A0A2V2CC41,13467,17259
ENA|OVLV01001512|OVLV01001512.1,0,13530,UniRef50_A0A2V2CC41,561,4296	ENA|OIWU01000006|OIWU01000006.1,271725,324658,UniRef50_A0A2V2CC41,319434,323226
ENA|OVLV01001512|OVLV01001512.1,0,13530,UniRef50_A0A2V2CC41,561,4296	ENA|OPVY01000018|OPVY01000018.1,0,58458,UniRef50_A0A2V2CC41,727,4519
ENA|OVLV01001512|OVLV01001512.1,0,13530,UniRef50_A0A2V2CC41,561,4296	ERZ920766.76620,0,53033,UniRef50_A0A2V2CC41,1531,5323
ENA|OVLV01001512|OVLV01001512.1,0,13530,UniRef50_A0A2V2CC41,561,4296	ENA|ULZB01029919|ULZB01029919.1,0,25420,UniRef50_A0A2V2CC41,7718,11510
ENA|OVLV01001512|OVLV01001512.1,0,13530,UniRef50_A0A2V2CC41,561,4296	ENA|UMIZ01009163|UMIZ01009163.1,0,20720,UniRef50_A0A2V2CC41,9153,12945
ENA|OVLV01001512|OVLV01001512.1,0,13530,UniRef50_A0A2V2CC41,561,4296	ERZ913662.43982,0,11196,UniRef50_A0A2V2CC41,991,4783
ENA|OVLV01001512|OVLV01001512.1,0,13530,UniRef50_A0A2V2CC41,561,4296	ERZ911114.67198,0,20764,UniRef50_A0A2V2CC41,7779,11571
ENA|OVLV01001512|OVLV01001512.1,0,13530,UniRef50_A0A2V2CC41,561,4296	ERZ920076.81531,0,17299,UniRef50_A0A2V2CC41,3930,7722
ENA|OVLV01001512|OVLV01001512.1,0,13530,UniRef50_A0A2V2CC41,561,4296	ENA|NAMJ01000010|NAMJ01000010.1,414113,498983,UniRef50_A0A2V2CC41,448295,452087
ENA|OVLV01001512|OVLV01001512.1,0,13530,UniRef50_A0A2V2CC41,561,4296	ERZ843269.1,71285,155524,UniRef50_A0A2V2CC41,118782,122574
ENA|OVLV01001512|OVLV01001512.1,0,13530,UniRef50_A0A2V2CC41,561,4296	ENA|UYEL01000001|UYEL01000001.1,127361,219560,UniRef50_A0A2V2CC41,181532,185324
ENA|OVLV01001512|OVLV01001512.1,0,13530,UniRef50_A0A2V2CC41,561,4296	ENA|OVGM01000003|OVGM01000003.1,146312,231656,UniRef50_A0A2V2CC41,180629,184421
ENA|OVLV01001512|OVLV01001512.1,0,13530,UniRef50_A0A2V2CC41,561,4296	ERZ809205.1,0,66375,UniRef50_A0A2V2CC41,14734,18526
ENA|OVLV01001512|OVLV01001512.1,0,13530,UniRef50_A0A2V2CC41,561,4296	ERZ925188.36519,3204,81478,UniRef50_A0A2V2CC41,37366,41158
ENA|OVLV01001512|OVLV01001512.1,0,13530,UniRef50_A0A2V2CC41,561,4296	Ga0134507_1000072,11722,82839,UniRef50_A0A2V2CC41,45957,49749
ENA|OVLV01001512|OVLV01001512.1,0,13530,UniRef50_A0A2V2CC41,561,4296	ENA|OWAW01001910|OWAW01001910.1,0,12222,UniRef50_A0A2V2CC41,4435,8227
ENA|OVLV01001512|OVLV01001512.1,0,13530,UniRef50_A0A2V2CC41,561,4296	ENA|OWTX01000003|OWTX01000003.1,75533,127495,UniRef50_A0A2V2CC41,89381,93173
ENA|OVLV01001512|OVLV01001512.1,0,13530,UniRef50_A0A2V2CC41,561,4296	ERZ919166.46992,0,29841,UniRef50_A0A2V2CC41,17068,20860
ENA|OVLV01001512|OVLV01001512.1,0,13530,UniRef50_A0A2V2CC41,561,4296	ERZ925498.78875,0,44780,UniRef50_A0A2V2CC41,8366,12158
ENA|OVLV01001512|OVLV01001512.1,0,13530,UniRef50_A0A2V2CC41,561,4296	ENA|UZQS01000022|UZQS01000022.1,122350,155853,UniRef50_A0A2V2CC41,137879,141671
ENA|OVLV01001512|OVLV01001512.1,0,13530,UniRef50_A0A2V2CC41,561,4296	ERZ941835.96640,0,45853,UniRef50_A0A2V2CC41,7879,11671
ENA|OVLV01001512|OVLV01001512.1,0,13530,UniRef50_A0A2V2CC41,561,4296	ENA|UZHO01000004|UZHO01000004.1,81339,160384,UniRef50_A0A2V2CC41,115742,119534
ENA|OVLV01001512|OVLV01001512.1,0,13530,UniRef50_A0A2V2CC41,561,4296	ERZ1036721.1,134807,220824,UniRef50_A0A2V2CC41,174898,178690
ENA|OVLV01001512|OVLV01001512.1,0,13530,UniRef50_A0A2V2CC41,561,4296	ENA|UBIO01000597|UBIO01000597.1,0,15125,UniRef50_A0A2V2CC41,10519,14311
ENA|OVLV01001512|OVLV01001512.1,0,13530,UniRef50_A0A2V2CC41,561,4296	ERZ959940.21837,0,12026,UniRef50_A0A2V2CC41,489,4281
ENA|OVLV01001512|OVLV01001512.1,0,13530,UniRef50_A0A2V2CC41,561,4296	ERZ1027250.501,0,16021,UniRef50_A0A2V2CC41,11707,15499
ENA|OVLV01001512|OVLV01001512.1,0,13530,UniRef50_A0A2V2CC41,561,4296	ERZ950309.6123,0,10029,UniRef50_A0A2V2CC41,5462,9254
ENA|OVLV01001512|OVLV01001512.1,0,13530,UniRef50_A0A2V2CC41,561,4296	ENA|OWPY01000315|OWPY01000315.1,547,50981,UniRef50_A0A2V2CC41,5030,8822
ENA|OVLV01001512|OVLV01001512.1,0,13530,UniRef50_A0A2V2CC41,561,4296	ERZ918666.14343,0,13876,UniRef50_A0A2V2CC41,5613,9405
ENA|OVLV01001512|OVLV01001512.1,0,13530,UniRef50_A0A2V2CC41,561,4296	ENA|OWAO01000407|OWAO01000407.1,0,48781,UniRef50_A0A2V2CC41,2601,6393
ENA|OVLV01001512|OVLV01001512.1,0,13530,UniRef50_A0A2V2CC41,561,4296	ENA|UXQW01000003|UXQW01000003.1,278248,328682,UniRef50_A0A2V2CC41,321263,325055
ENA|OVLV01001512|OVLV01001512.1,0,13530,UniRef50_A0A2V2CC41,561,4296	ENA|OHTB01000220|OHTB01000220.1,0,37103,UniRef50_A0A2V2CC41,480,4272
ENA|OVLV01001512|OVLV01001512.1,0,13530,UniRef50_A0A2V2CC41,561,4296	ENA|OLGH01000554|OLGH01000554.1,0,30581,UniRef50_A0A2V2CC41,11496,15288
ENA|OVLV01001512|OVLV01001512.1,0,13530,UniRef50_A0A2V2CC41,561,4296	ENA|OGRS01000001|OGRS01000001.1,70964,147051,UniRef50_A0A2V2CC41,101740,105532
ENA|OVLV01001512|OVLV01001512.1,0,13530,UniRef50_A0A2V2CC41,561,4296	ERZ827426.361,0,57835,UniRef50_A0A2V2CC41,12281,16073
ENA|OVLV01001512|OVLV01001512.1,0,13530,UniRef50_A0A2V2CC41,561,4296	ENA|OLRJ01000025|OLRJ01000025.1,12840,88388,UniRef50_A0A2V2CC41,53902,57694
ENA|OVLV01001512|OVLV01001512.1,0,13530,UniRef50_A0A2V2CC41,561,4296	ENA|OLQJ01000001|OLQJ01000001.1,177079,229041,UniRef50_A0A2V2CC41,192397,196189
ENA|OVLV01001512|OVLV01001512.1,0,13530,UniRef50_A0A2V2CC41,561,4296	ERZ918358.12768,0,43553,UniRef50_A0A2V2CC41,7002,10794
ENA|OVLV01001512|OVLV01001512.1,0,13530,UniRef50_A0A2V2CC41,561,4296	ENA|QROF01000001|QROF01000001.1,356625,436422,UniRef50_A0A2V2CC41,398467,402259
ENA|OVLV01001512|OVLV01001512.1,0,13530,UniRef50_A0A2V2CC41,561,4296	ENA|OGLJ01000031|OGLJ01000031.1,98057,159300,UniRef50_A0A2V2CC41,139959,143751
ENA|OVLV01001512|OVLV01001512.1,0,13530,UniRef50_A0A2V2CC41,561,4296	ENA|OYBU01000489|OYBU01000489.1,0,17971,UniRef50_A0A2V2CC41,1304,5096
ENA|OVLV01001512|OVLV01001512.1,0,13530,UniRef50_A0A2V2CC41,561,4296	ENA|ORNO01000573|ORNO01000573.1,0,23043,UniRef50_A0A2V2CC41,4176,7968
ENA|OVLV01001512|OVLV01001512.1,0,13530,UniRef50_A0A2V2CC41,561,4296	ENA|OLZE01000008|OLZE01000008.1,42191,94153,UniRef50_A0A2V2CC41,75068,78860
ENA|OVLV01001512|OVLV01001512.1,0,13530,UniRef50_A0A2V2CC41,561,4296	ENA|OHUS01000109|OHUS01000109.1,0,34924,UniRef50_A0A2V2CC41,25208,29000
ENA|OVLV01001512|OVLV01001512.1,0,13530,UniRef50_A0A2V2CC41,561,4296	ERZ920757.43636,71309,123271,UniRef50_A0A2V2CC41,104186,107978
